Date,ASIANPAINT,HDFCBANK,ITC,RELIANCE,TCS
2015-01-01 00:00:00+05:30,709.61376953125,451.4752197265625,192.357421875,417.9889221191406,1075.8509521484375
2015-01-02 00:00:00+05:30,734.14697265625,457.75860595703125,192.95994567871094,416.88262939453125,1090.1781005859375
2015-01-05 00:00:00+05:30,734.099609375,453.8937683105469,193.71963500976562,412.3162536621094,1073.6107177734375
2015-01-06 00:00:00+05:30,716.5758666992188,446.8280334472656,188.7423858642578,393.6034851074219,1034.0306396484375
2015-01-07 00:00:00+05:30,730.9737548828125,448.132080078125,185.23208618164062,402.1713562011719,1021.8162231445312
2015-01-08 00:00:00+05:30,777.0562744140625,457.5451965332031,189.86880493164062,396.40447998046875,1032.8472900390625
2015-01-09 00:00:00+05:30,769.6204223632812,462.666748046875,186.98724365234375,404.99591064453125,1061.7982177734375
2015-01-12 00:00:00+05:30,765.12109375,458.5885009765625,187.48495483398438,400.28826904296875,1060.6990966796875
2015-01-13 00:00:00+05:30,789.8438110351562,456.8338928222656,188.6637725830078,396.92236328125,1055.7120361328125
2015-01-14 00:00:00+05:30,798.1792602539062,457.0946960449219,182.21957397460938,393.06207275390625,1065.87646484375
2015-01-15 00:00:00+05:30,795.053466796875,470.9654846191406,187.5111541748047,406.8553771972656,1073.1251220703125
2015-01-16 00:00:00+05:30,798.9370727539062,474.85400390625,188.6637725830078,409.4210205078125,1070.1875
2015-01-19 00:00:00+05:30,787.996826171875,476.37152099609375,187.98268127441406,414.1051330566406,1061.24853515625
2015-01-20 00:00:00+05:30,794.911376953125,484.1486511230469,194.42691040039062,425.12091064453125,1056.78955078125
2015-01-21 00:00:00+05:30,806.3727416992188,483.6744079589844,184.78677368164062,426.8627014160156,1062.431884765625
2015-01-22 00:00:00+05:30,821.3863525390625,484.2908630371094,183.71270751953125,416.0352478027344,1062.3260498046875
2015-01-23 00:00:00+05:30,816.6029052734375,494.51025390625,183.08401489257812,417.5181579589844,1058.1212158203125
2015-01-27 00:00:00+05:30,843.5039672851562,509.3294372558594,188.6899871826172,418.5302734375,1059.58203125
2015-01-28 00:00:00+05:30,862.2117309570312,501.8842468261719,189.81642150878906,426.9097595214844,1075.484375
2015-01-29 00:00:00+05:30,834.7894287109375,519.2640991210938,193.95538330078125,437.52545166015625,1077.6221923828125
2015-01-30 00:00:00+05:30,812.482421875,510.89434814453125,193.0908966064453,430.8642272949219,1051.1124267578125
2015-02-02 00:00:00+05:30,765.45263671875,512.90966796875,188.9519500732422,427.4747314453125,1064.7275390625
2015-02-03 00:00:00+05:30,771.704345703125,504.6109619140625,191.78111267089844,441.3857727050781,1083.3818359375
2015-02-04 00:00:00+05:30,761.4269409179688,506.31805419921875,192.5931854248047,437.2430725097656,1064.769775390625
2015-02-05 00:00:00+05:30,768.0575561523438,510.4911804199219,193.2742919921875,434.8421630859375,1080.904541015625
2015-02-06 00:00:00+05:30,755.5542602539062,499.5841979980469,195.68434143066406,428.34564208984375,1090.7926025390625
2015-02-09 00:00:00+05:30,761.2374267578125,493.2297668457031,192.75035095214844,422.13165283203125,1064.1766357421875
2015-02-10 00:00:00+05:30,778.8084716796875,500.03472900390625,193.7982177734375,415.2113952636719,1033.79150390625
2015-02-11 00:00:00+05:30,796.3795166015625,501.907958984375,194.45310974121094,424.0146789550781,1041.732421875
2015-02-12 00:00:00+05:30,780.2766723632812,510.2541198730469,194.0601348876953,427.9925537109375,1042.684814453125
2015-02-13 00:00:00+05:30,783.1185302734375,505.41717529296875,198.0681610107422,431.9234619140625,1075.1240234375
2015-02-16 00:00:00+05:30,790.1279907226562,506.2469482421875,204.11944580078125,425.0032043457031,1094.625244140625
2015-02-18 00:00:00+05:30,777.7191772460938,509.6850891113281,206.03175354003906,424.46185302734375,1116.159423828125
2015-02-19 00:00:00+05:30,790.0805053710938,512.05615234375,203.93606567382812,424.65020751953125,1135.3858642578125
2015-02-20 00:00:00+05:30,782.123779296875,508.85528564453125,207.4987030029297,411.0216369628906,1133.0567626953125
2015-02-23 00:00:00+05:30,766.87353515625,506.22332763671875,204.45997619628906,400.82965087890625,1141.9921875
2015-02-24 00:00:00+05:30,757.3539428710938,506.2944641113281,207.3153533935547,396.12200927734375,1145.422607421875
2015-02-25 00:00:00+05:30,770.899169921875,499.0863037109375,209.4110565185547,396.92236328125,1131.6378173828125
2015-02-26 00:00:00+05:30,750.107666015625,492.30511474609375,207.28915405273438,396.3810119628906,1124.968017578125
2015-02-27 00:00:00+05:30,764.5529174804688,499.8214416503906,206.2675323486328,402.75982666015625,1127.466796875
2015-03-02 00:00:00+05:30,782.029052734375,513.3602905273438,179.83572387695312,406.8553771972656,1130.4517822265625
2015-03-03 00:00:00+05:30,794.058837890625,513.739501953125,178.94503784179688,424.0617370605469,1175.595947265625
2015-03-04 00:00:00+05:30,792.6380615234375,505.1800537109375,180.35964965820312,417.9653625488281,1162.8912353515625
2015-03-05 00:00:00+05:30,789.8909912109375,514.5694580078125,181.407470703125,416.6001281738281,1141.907470703125
2015-03-09 00:00:00+05:30,769.7626342773438,502.1925048828125,177.2685089111328,409.3975524902344,1120.881591796875
2015-03-10 00:00:00+05:30,765.310546875,499.1338195800781,177.37326049804688,404.45452880859375,1119.1453857421875
2015-03-11 00:00:00+05:30,766.3052978515625,500.9831848144531,177.18991088867188,402.9480895996094,1103.836181640625
2015-03-12 00:00:00+05:30,765.45263671875,500.10589599609375,181.6170654296875,406.6435852050781,1109.1298828125
