,Cluster,Companies Name,Companies,ATR,CHG
0,0,IBM,IBM,2.4750308785727544,0.0005282676746470222
1,1,Visa,V,2.2072507854243906,0.0038515232384483274
2,1,Microsoft,MSFT,2.349956677921448,0.003941665853452207
3,2,Walmart,WMT,1.4753179458417267,0.0017888784376514717
4,2,Procter & Gamble,PG,1.4128840098970328,0.0014950279766040276
5,2,JPMorgan Chase,JPM,1.8278731686358396,0.0023044897197003
6,2,Johnson & Johnson,JNJ,1.6840436556911997,0.0014943206412951456
7,3,Boeing,BA,4.5889263634373725,0.0033376203368321623
8,4,Goldman Sachs,GS,4.83415928892758,0.0017275577927896987
9,5,Verizon,VZ,0.7579336327406722,0.0005292498275793161
10,5,Merck,MRK,1.0901382038776188,0.0019695980992546066
11,5,Intel,INTC,0.8735416490447782,0.0012480963981999034
12,5,Coca-Cola,KO,0.6443518238840954,0.0014271996391970587
13,5,Cisco,CSCO,0.6926835932576931,0.0016312811651586219
14,6,Chevron,CVX,2.2854170658390496,0.0016200471039732934
15,7,Amgen,AMGN,3.336797749807339,0.002442344203258942
16,8,Home Depot,HD,3.1347658487256407,0.003895426342246522
17,8,Salesforce,CRM,3.025330400456635,0.004676037086655966
18,9,UnitedHealth Group,UNH,4.229089916446078,0.004455486153303495
19,10,Caterpillar,CAT,2.9934194956816174,0.00262160074553059
20,11,Nike,NKE,1.4839117557827328,0.003340852124329251
21,11,Apple,AAPL,1.316088580396539,0.00527830308878676
22,12,American Express,AXP,2.0543877495560365,0.002733111398303127
23,12,Honeywell,HON,2.215953016963623,0.0027851154014549104
24,12,McDonald's,MCD,2.2623543979177394,0.002480702383951174
25,12,Disney,DIS,1.969763663506975,0.002047156408354204
26,12,Travelers,TRV,1.9271652726459225,0.0022540849398312436
27,13,Walgreens Boots Alliance,WBA,1.2436886045733524,0.0004214444008208485
28,14,3M,MMM,2.5273693862737274,0.0006202812861886731
