Date,ASIANPAINT,HDFCBANK,ITC,RELIANCE,TCS
2015-01-01,704.9195556640625,446.35650634765625,191.17955017089844,417.9889221191406,1065.138671875
2015-01-02,729.2904052734375,452.5686340332031,191.7783660888672,416.8825988769531,1079.3238525390625
2015-01-05,729.2433471679688,448.74755859375,192.5334014892578,412.3162841796875,1062.9210205078125
2015-01-06,711.8355712890625,441.76190185546875,187.5866241455078,393.6034851074219,1023.734619140625
2015-01-07,726.1380615234375,443.0512390136719,184.09786987304688,402.17132568359375,1011.6422729492188
2015-01-08,771.9157104492188,452.3576354980469,188.70616149902344,396.40447998046875,1022.563720703125
2015-01-09,764.5291748046875,457.42108154296875,185.84225463867188,404.9958801269531,1051.2261962890625
2015-01-12,760.0596313476562,453.3890380859375,186.3369140625,400.2882995605469,1050.13818359375
2015-01-13,784.6187133789062,451.6543273925781,187.50851440429688,396.92236328125,1045.2005615234375
2015-01-14,792.899169921875,451.9122314453125,181.103759765625,393.0620422363281,1055.263427734375
2015-01-15,789.7939453125,465.6257629394531,186.36294555664062,406.85540771484375,1062.4398193359375
2015-01-16,793.6519775390625,469.47015380859375,187.50851440429688,409.4210510253906,1059.53173828125
2015-01-19,782.7837524414062,470.9704895019531,186.83160400390625,414.1051330566406,1050.681884765625
2015-01-20,789.6529541015625,478.659423828125,193.23634338378906,425.1209716796875,1046.2677001953125
2015-01-21,801.0383911132812,478.1905517578125,183.6552734375,426.86273193359375,1051.8536376953125
2015-01-22,815.9526977539062,478.8000183105469,182.58779907226562,416.0352478027344,1051.749267578125
2015-01-23,811.20068359375,488.90350341796875,181.9629364013672,417.5181579589844,1047.5859375
2015-01-27,837.9238891601562,503.5547180175781,187.5345458984375,418.5303039550781,1049.031982421875
2015-01-28,856.5079345703125,496.1939392089844,188.65408325195312,426.9098205566406,1064.775634765625
2015-01-29,829.2672119140625,513.3767700195312,192.7677001953125,437.52545166015625,1066.8931884765625
2015-01-30,807.107666015625,505.10186767578125,191.90853881835938,430.8642578125,1040.6466064453125
2015-02-02,760.388916015625,507.09429931640625,187.79490661621094,427.4747619628906,1054.1260986328125
2015-02-03,766.599365234375,498.8896789550781,190.60675048828125,441.3857421875,1072.594970703125
2015-02-04,756.3898315429688,500.5774841308594,191.41387939453125,437.2430114746094,1054.1680908203125
2015-02-05,762.9766845703125,504.70330810546875,192.0907745361328,434.84222412109375,1070.142333984375
2015-02-06,750.5560302734375,493.91998291015625,194.486083984375,428.3456726074219,1079.932373046875
2015-02-09,756.2017211914062,487.63763427734375,191.57008361816406,422.1316223144531,1053.5810546875
2015-02-10,773.6565551757812,494.3654479980469,192.61151123046875,415.2113952636719,1023.4987182617188
2015-02-11,791.1113891601562,496.2173767089844,193.2624053955078,424.0146789550781,1031.3602294921875
2015-02-12,775.1150512695312,504.4689636230469,192.87184143066406,427.9925842285156,1032.3033447265625
2015-02-13,777.9378662109375,499.6867370605469,196.85533142089844,431.9234313964844,1064.4193115234375
2015-02-16,784.901123046875,500.50726318359375,202.86953735351562,425.00323486328125,1083.726318359375
2015-02-18,772.5745239257812,503.9062805175781,204.7701416015625,424.4619140625,1105.046630859375
2015-02-19,784.8538208007812,506.25048828125,202.68728637695312,424.6501770019531,1124.08154296875
2015-02-20,776.949951171875,503.0858154296875,206.22811889648438,411.0216369628906,1121.7752685546875
2015-02-23,761.8003540039062,500.4837951660156,203.20802307128906,400.82965087890625,1130.621826171875
2015-02-24,752.3436889648438,500.5541076660156,206.04588317871094,396.1220397949219,1134.0179443359375
2015-02-25,765.7994995117188,493.4277038574219,208.1287384033203,396.92236328125,1120.370361328125
2015-02-26,745.1454467773438,486.723388671875,206.0198211669922,396.3809814453125,1113.7672119140625
2015-02-27,759.4951171875,494.1545104980469,205.0044708251953,402.7597961425781,1116.240478515625
2015-03-02,776.8557739257812,507.539794921875,178.73452758789062,406.85540771484375,1119.19677734375
2015-03-03,788.8060302734375,507.9148254394531,177.84933471679688,424.06170654296875,1163.8907470703125
2015-03-04,787.3945922851562,499.4523620605469,179.2552490234375,417.9653625488281,1151.312744140625
2015-03-05,784.6657104492188,508.7353820800781,180.29666137695312,416.60015869140625,1130.5379638671875
2015-03-09,764.67041015625,496.4986572265625,176.18304443359375,409.3974914550781,1109.7215576171875
2015-03-10,760.2478637695312,493.4746398925781,176.28717041015625,404.45452880859375,1108.0023193359375
2015-03-11,761.2357788085938,495.30303955078125,176.10491943359375,402.9481201171875,1092.845703125
2015-03-12,760.388916015625,494.4358215332031,180.5049591064453,406.6435852050781,1098.0865478515625
2015-03-13,760.6713256835938,488.8331604003906,176.7297821044922,400.1941223144531,1082.699462890625
2015-03-16,782.7367553710938,493.005859375,174.64695739746094,396.4280700683594,1074.2928466796875
2015-03-17,782.3134155273438,496.05328369140625,177.04222106933594,403.371826171875,1083.2652587890625
2015-03-18,766.1290283203125,498.63189697265625,175.29782104492188,408.9267578125,1073.05615234375
2015-03-19,785.5125732421875,493.31060791015625,173.57948303222656,403.0422058105469,1088.5272216796875
2015-03-20,762.1297607421875,495.0452880859375,170.5072479248047,402.0771484375,1094.6903076171875
2015-03-23,763.6823120117188,491.2242431640625,170.48121643066406,396.3574523925781,1097.2900390625
2015-03-24,765.2821044921875,486.6296081542969,170.0386199951172,399.1819763183594,1086.4520263671875
2015-03-25,760.7654418945312,484.89495849609375,170.14279174804688,397.7461242675781,1079.0936279296875
2015-03-26,746.2744140625,472.0956726074219,167.87765502929688,390.40228271484375,1053.6650390625
